tourney_id,tourney_name,tourney_spectators,year
2016-W-C25-USA-09A-2016/25/jackson ms $25k,Jackson MS $25K,3575,2016
2016-1763/C/genova ch,Genova CH,3572,2016
2016-0686/C/scheveningen ch,Scheveningen CH,3571,2016
2016-W-C25-BRA-04A-2016/25/campinas $25k,Campinas $25K,3569,2016
2016-W-C10-COL-02A-2016/10/cali $10k,Cali $10K,3561,2016
2016-W-C10-BRA-03A-2016/10/sao jose do rio preto $10k,Sao Jose Do Rio Preto $10K,3559,2016
2016-W-C50-AUS-01A-2016/50/bendigo $50k,Bendigo $50K,3555,2016
2016-7121/C/brescia ch,Brescia CH,3552,2016
2016-W-WITF-ESP-21A-2016/25/valencia $25k,Valencia $25K,3551,2016
2016-7553/C/chengdu ch,Chengdu CH,3551,2016
2016-W-C10-KAZ-04B-2016/10/shymkent $10k,Shymkent $10K,3550,2016
2016-1023/I/guangzhou,Guangzhou,3549,2016
2016-W-C25-USA-08A-2016/25/sumter sc $25k,Sumter SC $25K,3545,2016
2016-W-C25-CHI-02A-2016/25/santiago $25k,Santiago $25K,3543,2016
2016-0396/C/furth ch,Furth CH,3539,2016
2016-6156/C/marburg ch,Marburg CH,3538,2016
2016-W-C10-ESP-11A-2016/10/valladolid $10k,Valladolid $10K,3537,2016
2016-6757/C/blois ch,Blois CH,3537,2016
2016-W-C10-ROU-11A-2016/10/bucharest $10k,Bucharest $10K,3536,2016
2016-W-C50-ITA-06A-2016/50/rome $50k,Rome $50K,3535,2016
2016-W-C10-NED-01A-2016/10/alkmaar $10k,Alkmaar $10K,3533,2016
2016-W-C25-JPN-01B-2016/25/tokyo $25k,Tokyo $25K,3532,2016
2016-W-C10-CZE-05A-2016/10/brno $10k,Brno $10K,3531,2016
2016-W-C10-RUS-01A-2016/10/khimki $10k,Khimki $10K,3531,2016
2016-W-C10-EGY-46A-2016/10/cairo $10k,Cairo $10K,3530,2016
2016-W-C10-EGY-19A-2016/10/sharm el sheikh $10k,Sharm El Sheikh $10K,3530,2016
2016-W-C25-ITA-08A-2016/25/santa margherita di pula $25k,Santa Margherita Di Pula $25K,3526,2016
2016-0526/C/braunschweig ch,Braunschweig CH,3522,2016
2016-W-C25-ESP-01A-2016/25/barcelona $25k,Barcelona $25K,3520,2016
2016-1086/P/st. petersburg,St. Petersburg,3520,2016
2016-W-C10-ROU-10A-2016/10/galati $10k,Galati $10K,3518,2016
2016-W-C10-KOR-06A-2016/10/yeongwol $10k,Yeongwol $10K,3515,2016
2016-W-C10-EGY-34A-2016/10/sharm el sheikh $10k,Sharm El Sheikh $10K,3514,2016
2016-W-C50-ITA-01A-2016/50/brescia $50k,Brescia $50K,3512,2016
2016-W-C25-USA-05A-2016/25/rancho santa fe ca $25k,Rancho Santa Fe CA $25K,3511,2016
2016-W-C10-BEL-02A-2016/10/brussels $10k,Brussels $10K,3511,2016
2016-W-C10-TUN-16A-2016/10/hammamet $10k,Hammamet $10K,3510,2016
2016-W-C10-EGY-26A-2016/10/sharm el sheikh $10k,Sharm El Sheikh $10K,3508,2016
2016-W-C50-TUN-01A-2016/50/tunis $50k,Tunis $50K,3508,2016
2016-W-C10-ESP-14A-2016/10/madrid $10k,Madrid $10K,3507,2016
2016-W-C10-POR-09A-2016/10/porto $10k,Porto $10K,3505,2016
2016-6590/C/sibiu ch,Sibiu CH,3502,2016
2016-W-C10-ESP-19A-2016/10/castellon $10k,Castellon $10K,3501,2016
2016-W-C10-TUN-27A-2016/10/hammamet $10k,Hammamet $10K,3499,2016
2016-W-C10-TUR-13A-2016/10/antalya $10k,Antalya $10K,3494,2016
2016-7293/C/manchester ch,Manchester CH,3490,2016
2016-M055/C/lexington ch,Lexington CH,3488,2016
2016-W-C10-GBR-04A-2016/10/nottingham $10k,Nottingham $10K,3487,2016
2016-W-C10-EGY-13A-2016/10/sharm el sheikh $10k,Sharm El Sheikh $10K,3483,2016
2016-W-C10-MAR-02A-2016/10/casablanca $10k,Casablanca $10K,3478,2016
2016-W-C25-KOR-03A-2016/25/incheon $25k,Incheon $25K,3472,2016
2016-0718/P/dubai,Dubai,3470,2016
2016-0467/C/aptos ch,Aptos CH,3468,2016
2016-7482/C/jonkoping ch,Jonkoping CH,3466,2016
2016-7434/A/sofia,Sofia,3462,2016
2016-W-C10-TUR-09A-2016/10/antalya $10k,Antalya $10K,3458,2016
2016-W-C10-ITA-21A-2016/10/solarino $10k,Solarino $10K,3458,2016
2016-6204/C/ortisei ch,Ortisei CH,3453,2016
2016-W-C10-ESP-20A-2016/10/nules $10k,Nules $10K,3447,2016
2016-W-C10-MRI-02A-2016/10/grand baie la croisette $10k,Grand Baie La Croisette $10K,3445,2016
2016-W-C25-USA-13A-2016/25/fort worth tx $25k,Fort Worth TX $25K,3444,2016
